字段名称,字段描述,录入形式,数据类型,必输项,备注
法规标题,中国人民银行关于修订《电子商业汇票系统管理办法》等四项制度的通知（银发[2018]152号）,手工录入,字符串型,是,
法规文号,银发[2018]152号,手工录入,字符串型,可为空,
外规类别,规范性文件,手工选择,字符串型,是,
发文部门,"中国人民银行
",选择录入,字符串型,是,
效力等级,规范性文件,选择录入,字符串型,是,
发布日期,2018年6月6日,选择录入,字符串型,是,
实施日期,印发之日,选择录入,字符串型,是,
解读部门,,,,,外规内化部门
录入人,huzihua,系统生成,字符串型,是,根据当前用户信息生成
录入时间,"2021-10-29,10: 19: 34",系统生成,字符串型,是,系统根据当前日期自动生成
